pp,ba,fu,pr,om
2.55,28.01,2.55,2.55,15.280000000000001
1.31104556,7.316707067,1.33788375,1.33788375,5.9533814000000005
8.25,13.255,3.355,0,14.850000000000001
102.490000004,18.516666667,20.946666666000002,0,23.500000000000004
21.349999996,52.720000002999996,14.846666667000001,0,5.623333334000001
2.49,4.965,1.245,0,2.475
24.10410513,61.159518149,20.3783611,4.227436067,31.283029243999998
15.510634806999999,104.318667023,49.41237375,3.705822493,31.021269615
1.365,29.525,11.89,0,4.455
3.180661576,6.391601086,3.2109395060000003,0.795165393,4.0061049
42.147355717,132.76722201,51.913235867000004,11.049746942999999,45.497266223
22.320941351000002,53.10157679500001,14.824183506,8.108886191,22.661454674
8.99,68.93,32.96,0,35.96
14.932020616,15.412180320000001,12.362447521,2.593360997,1.767306684
11.383061027,51.621184559,6.449095454,3.224547727,22.726200737
0.75024383,4.60789695,0.75024383,0,3.953862653
12.225269798,6.320252723,8.52156608,0,4.928785717
18.981280763,14.58442281,6.229061783,0,5.300938244000001
4.285,2.025,0,0,0
25.722500000000004,70.133333335,15.7875000005,0.4883333335,12.061666666499999
23.407709782999998,55.615344965000006,27.296181726999997,6.485519534,41.401525305999996
3.4686090899999997,22.890129924000007,6.54118671,1.058201057,5.482985657
13.41906686,16.531416733,4.176605367,2.532928063,21.0722587
4.9125,17.5925,1.5275,0,0
15.785,84.6116666665,25.615000000000002,1.075,13.045
47.510000000000005,35.78,22.3275,0,14.085
25.289292974,88.71119275000001,39.584972627,50.50200319700001,42.168951957
22.038068996,73.675164213,20.080018553000002,5.534499197000001,26.189131620999994
4.0224473839999995,6.7422924680000005,3.038001627,0,4.773400957
1.850481125,1.850481126,3.71267852,0,1.850481125
3.30565154,15.06052317,7.484140697,1.606704887,9.974757648
37.59398495,100.25062650000001,0,18.79699245,205.383861
42.563296066,28.927071339,31.561450774,4.60090039,27.874103046000002
16.185000000000002,60.28,11.8675,0,9.7375
1.730702667,11.780936114,2.270663033,3.778204713,4.541326066
17.763980153,75.030093826,32.693592903,2.026342453,26.614565586000005
13.35,7.420000000000001,7.265,0,2.97
10.64,13.395,6.57,0,6.57
1.8155410299999999,16.018057106,5.26798363,3.4524426,12.717327473
9.98,9.905000000000001,5.95,0,5.985
4.006506097,16.239162018,5.18373016,0,5.713552841
6.279181547,2.7393346100000002,1.794512237,0,0.944822373
